year,month,day,hour,numAgentsText,numAgentsVoice,numAgentsEmail,numAgentsTextEmail,numAgentsTextVoice,numAgentsVoiceEmail,numAgentsTextVoiceEmail,numConvosText,numConvosVoice,numConvosEmail,numConvosTextEmail,numConvosTextVoice,numConvosVoiceEmail,numConvosTextVoiceEmail,textSla,voiceSla,emailSla
2018,7,11,4,2,0,1,3,2,1,3,3,0,1,4,3,1,4,1.0,~,1.0
2018,7,11,5,3,0,1,4,3,1,4,4,0,1,5,4,1,5,1.0,~,1.0
2018,7,11,6,2,0,2,4,2,2,4,2,0,2,4,2,2,4,1.0,~,1.0
2018,7,11,7,2,0,1,3,2,1,3,2,0,1,3,2,1,3,1.0,~,1.0
2018,7,11,8,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,7,16,9,0,0,2,2,0,2,2,0,0,2,2,0,2,2,~,~,1.0
2018,7,17,2,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,7,24,6,1,0,1,2,1,1,2,1,0,1,2,1,1,2,1.0,~,1.0
2018,7,24,7,0,0,1,1,0,1,1,0,0,1,1,0,1,1,~,~,1.0
2018,7,26,3,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,7,27,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,7,27,5,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,7,27,9,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,1,2,2,0,1,3,2,1,3,3,0,2,5,3,2,5,1.0,~,1.0
2018,8,1,3,2,0,2,4,2,2,4,2,0,7,9,2,7,9,1.0,~,1.0
2018,8,1,4,2,0,0,2,2,0,2,1,0,0,1,1,0,1,1.0,~,~
2018,8,1,6,2,0,1,3,2,1,3,8,0,1,9,8,1,9,1.0,~,1.0
2018,8,2,2,1,0,0,1,1,0,1,3,0,0,3,3,0,3,1.0,~,~
2018,8,2,4,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,2,6,0,0,1,1,0,1,1,0,0,1,1,0,1,1,~,~,1.0
2018,8,3,2,0,0,1,1,0,1,1,0,0,1,1,0,1,1,~,~,1.0
2018,8,3,8,0,0,1,1,0,1,1,0,0,1,1,0,1,1,~,~,1.0
2018,8,6,2,3,0,1,4,3,1,4,4,0,1,5,4,1,5,1.0,~,1.0
2018,8,6,4,2,0,2,4,2,2,4,2,0,1,3,2,1,3,1.0,~,1.0
2018,8,6,7,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,6,9,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,8,7,2,0,0,2,2,0,2,2,0,0,2,2,0,2,1.0,~,~
2018,8,10,3,2,0,0,2,2,0,2,3,0,0,3,3,0,3,1.0,~,~
2018,8,10,4,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,8,10,9,1,0,0,1,1,0,1,4,0,0,4,4,0,4,1.0,~,~
2018,8,13,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,13,2,1,0,0,1,1,0,1,3,0,0,3,3,0,3,1.0,~,~
2018,8,13,5,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,13,6,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,15,3,2,0,0,2,2,0,2,2,0,0,2,2,0,2,1.0,~,~
2018,8,21,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,21,2,4,0,2,6,4,2,6,6,0,2,8,6,2,8,1.0,~,1.0
2018,8,21,7,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,21,9,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,21,10,2,0,0,2,2,0,2,5,0,0,5,5,0,5,1.0,~,~
2018,8,21,11,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,22,16,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,8,22,17,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,23,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,23,2,2,0,0,2,2,0,2,2,0,0,2,2,0,2,1.0,~,~
2018,8,24,7,1,0,0,1,1,0,1,4,0,0,4,4,0,4,1.0,~,~
2018,8,24,12,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,27,4,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,27,7,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,28,6,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,28,7,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,8,28,8,1,0,1,2,1,1,2,2,0,1,3,2,1,3,1.0,~,1.0
2018,8,29,9,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,30,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,30,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,30,6,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,8,30,8,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,31,3,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,8,31,7,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,9,10,8,2,0,0,2,2,0,2,2,0,0,2,2,0,2,1.0,~,~
2018,9,11,2,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,9,13,6,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,9,27,4,2,0,1,3,2,1,3,4,0,1,5,4,1,5,1.0,~,1.0
2018,10,8,3,2,0,1,3,2,1,3,3,0,1,4,3,1,4,1.0,~,1.0
2018,10,8,4,1,0,1,2,1,1,2,1,0,1,2,1,1,2,1.0,~,1.0
2018,10,8,6,1,0,1,2,1,1,2,4,0,1,5,4,1,5,1.0,~,1.0
2018,10,8,7,3,0,1,4,3,1,4,7,0,2,9,7,2,9,1.0,~,1.0
2018,10,8,8,2,0,0,2,2,0,2,3,0,0,3,3,0,3,1.0,~,~
2018,10,8,9,2,0,0,2,2,0,2,3,0,0,3,3,0,3,1.0,~,~
2018,10,8,10,1,1,1,2,2,2,3,2,1,1,3,3,2,4,1.0,1.0,1.0
2018,10,9,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,10,9,7,1,1,1,2,2,2,3,1,3,1,2,4,4,5,1.0,1.0,1.0
2018,10,9,8,1,1,0,1,2,1,2,1,3,0,1,4,3,4,1.0,1.0,~
2018,10,9,9,1,0,1,2,1,1,2,4,0,1,5,4,1,5,1.0,~,1.0
2018,10,10,2,2,0,0,2,2,0,2,3,0,0,3,3,0,3,1.0,~,~
2018,10,10,3,2,1,0,2,3,1,3,4,2,0,4,6,2,6,1.0,1.0,~
2018,10,10,4,2,1,0,2,3,1,3,8,0,0,8,8,0,8,1.0,~,~
2018,10,15,7,1,1,1,2,2,2,3,2,3,2,4,5,5,7,1.0,1.0,1.0
2018,10,15,9,0,1,0,0,1,1,1,0,1,0,0,1,1,1,~,1.0,~
2018,10,15,10,0,1,0,0,1,1,1,0,1,0,0,1,1,1,~,1.0,~
2018,10,18,2,0,1,0,0,1,1,1,0,5,0,0,5,5,5,~,1.0,~
2018,10,19,9,0,1,0,0,1,1,1,0,2,0,0,2,2,2,~,1.0,~
2018,10,28,12,1,0,0,1,1,0,1,4,0,0,4,4,0,4,1.0,~,~
2018,10,29,1,1,0,0,1,1,0,1,6,0,0,6,6,0,6,1.0,~,~
2018,10,29,2,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,10,30,5,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,10,30,6,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,10,30,8,1,0,0,1,1,0,1,4,0,0,4,4,0,4,1.0,~,~
2018,10,30,9,1,0,0,1,1,0,1,7,0,0,7,7,0,7,1.0,~,~
2018,10,31,2,1,0,0,1,1,0,1,3,0,0,3,3,0,3,1.0,~,~
2018,11,12,7,1,0,1,2,1,1,2,2,0,1,3,2,1,3,1.0,~,1.0
2018,11,13,2,0,1,0,0,1,1,1,0,1,0,0,1,1,1,~,1.0,~
2018,11,13,3,0,1,0,0,1,1,1,0,2,0,0,2,2,2,~,1.0,~
2018,11,13,4,0,1,0,0,1,1,1,0,2,0,0,2,2,2,~,1.0,~
2018,11,13,9,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,14,2,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,11,14,7,0,1,0,0,1,1,1,0,1,0,0,1,1,1,~,1.0,~
2018,11,14,8,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,14,9,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,14,23,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,15,2,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,11,15,3,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,15,9,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,15,10,1,0,0,1,1,0,1,4,0,0,4,4,0,4,1.0,~,~
2018,11,16,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,16,9,1,0,0,1,1,0,1,3,0,0,3,3,0,3,1.0,~,~
2018,11,16,10,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,22,7,0,1,0,0,1,1,1,0,1,0,0,1,1,1,~,1.0,~
2018,11,26,8,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,27,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,11,27,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,4,6,2,0,0,2,2,0,2,4,0,0,4,4,0,4,1.0,~,~
2018,12,5,9,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,6,23,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,7,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,11,6,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,13,5,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,13,6,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2018,12,13,8,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,18,1,1,0,0,1,1,0,1,3,0,0,3,3,0,3,1.0,~,~
2018,12,19,7,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,21,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2018,12,21,3,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
2019,1,2,8,3,0,0,3,3,0,3,3,0,0,3,3,0,3,1.0,~,~
2019,1,3,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2019,1,3,5,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2019,1,4,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2019,1,4,3,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1.0,~,~
2019,1,4,8,1,0,0,1,1,0,1,2,0,0,2,2,0,2,1.0,~,~
